question;response;
Какая квалификация присваивается выпускникам техникума по специальности 09.02.01 "Компьютерные системы и комплексы";Выпускникам специальности 09.02.01 "Компьютерные системы и комплексы" присваивается квалификация "Техник по компьютерным системам";
Какая квалификация присваивается выпускникам техникума по специальности 09.02.06 "Сетевое и системное администрирование";Выпускникам специальности 09.02.06 "Сетевое и системное администрирование" присваивается квалификация "Сетевой и системный администратор";
Какая квалификация присваивается выпускникам специальности 09.02.08 "WEB-разработка";Выпускникам специальности 09.02.08 присваивается квалификация "Разработчик веб-приложений";
Какая квалификация присваивается выпускникам специальности 10.02.05 "Обеспечение информационной безопасности автоматизированных систем";Выпускникам специальности 10.02.05 присваивается квалификация "Техник по защите информации";
Какая квалификация присваивается выпускникам специальности 25.02.08 "Эксплуатация беспилотных авиационных систем";Выпускникам специальности 25.02.08 присваивается квалификация "Оператор беспилотных летательных аппаратов";
Какая квалификация присваивается выпускникам специальности 40.02.04 "Юриспруденция";Выпускникам специальности 40.02.04 присваивается квалификация "Юрист";
Какая квалификация присваивается выпускникам специальности 09.02.07 "Информационные системы и программирование";Выпускникам специальности 09.02.07 присваивается квалификация в зависимости от выбранного направления: 1. Администратор баз данных 2. Специалист по информационным системам 3. Разработчик WEB и мультимедийных приложений 4. Программист 5. Специалист по тестированию в области информационных технологий;
Как осуществляется оплата обучения — сразу за учебный год?;Оплата обучения осуществляется по семестрам;
Когда начинается прием документов в техникум?;Прием документов для поступления проходит с 20 июня по 15 августа;
Когда начинается учебный год у студентов?;Начало учебного года у студентов всех курсов — 1 сентября;
По какому адресу учатся студенты?;Студенты первокурсники всех специальностей обучаются по адресу ул. Нежинская, д. 7. Начиная со 2 курса студенты учатся по двум адресам: ул. Нежинская, д. 7 и Нахимовский проспект, д. 21 в зависимости от расписания;
Можно ли оплачивать обучение из средств материнского капитала?;Оплата обучения материнским капиталом возможна в соответствии с законом о материнском капитале;
Выплачивается ли студентам-бюджетникам стипендия?;С 1 сентября по 31 декабря государственная академическая стипендия назначается всем студентам первого курса, обучающимся за счет бюджетных средств. В последующем академическая стипендия назначается студентам, окончившим семестр только на «хорошо» и «отлично»;
Можно ли прислать документы в приемную комиссию в электронном виде?;Поступающие вправе направить в колледж заявление о приеме и необходимые документы одним из способов: лично в приемную комиссию, посредством электронной информационной системы "Личный кабинет абитуриента" или через операторов почтовой связи общего пользования заказным письмом с уведомлением о вручении;
Когда начинается прием документов?;Прием документов для поступления проходит с 20 июня по 15 августа;
Какая квалификация присваивается выпускникам техникума по специальности 09.02.01?;Выпускникам специальности 09.02.01 "Компьютерные системы и комплексы" присваивается квалификация "Техник по компьютерным системам";
Какая квалификация 09.02.01?;Выпускникам специальности 09.02.01 "Компьютерные системы и комплексы" присваивается квалификация "Техник по компьютерным системам";
Какая квалификация 09.02.06?;Выпускникам специальности 09.02.06 "Сетевое и системное администрирование" присваивается квалификация "Сетевой и системный администратор";
Какая квалификация 09.02.08?;Выпускникам специальности 09.02.08 присваивается квалификация "Разработчик веб-приложений";
Какая квалификация 10.02.05?;Выпускникам специальности 10.02.05 присваивается квалификация "Техник по защите информации";
Какая квалификация 25.02.08?;Выпускникам специальности 25.02.08 присваивается квалификация "Оператор беспилотных летательных аппаратов";
Какая квалификация 40.02.04?;Выпускникам специальности 40.02.04 присваивается квалификация "Юрист";
Какая квалификация 09.02.07?;Выпускникам специальности 09.02.07 присваивается квалификация в зависимости от выбранного направления: 1. Администратор баз данных 2. Специалист по информационным системам 3. Разработчик WEB и мультимедийных приложений 4. Программист 5. Специалист по тестированию в области информационных технологий;
Как осуществляется оплата обучения — сразу за учебный год?;Оплата обучения осуществляется по семестрам;
Когда начинается прием документов в техникум?;Прием документов для поступления проходит с 20 июня по 15 августа;
Когда начинается учебный год у студентов?;Начало учебного года у студентов всех курсов — 1 сентября;
По какому адресу проходят занятия у студентов?;Студенты первокурсники всех специальностей обучаются по адресу ул. Нежинская, д. 7. Начиная со 2 курса студенты учатся по двум адресам: ул. Нежинская, д. 7 и Нахимовский проспект, д. 21 в зависимости от расписания;
Можно ли использовать средства материнского капитала для оплаты обучения?;Оплата обучения материнским капиталом возможна в соответствии с законом о материнском капитале;
Есть ли стипендия для бюджетников?;С 1 сентября по 31 декабря государственная академическая стипендия назначается всем студентам первого курса, обучающимся за счет бюджетных средств. В последующем академическая стипендия назначается студентам, окончившим семестр только на «хорошо» и «отлично»;
Разрешено ли отправлять документы в приемную комиссию в электронном формате?;Поступающие вправе направить в колледж заявление о приеме и необходимые документы одним из способов: лично в приемную комиссию, посредством электронной информационной системы "Личный кабинет абитуриента" или через операторов почтовой связи общего пользования заказным письмом с уведомлением о вручении;
Кто получает квалификацию по специальности 09.02.01 "Компьютерные системы и комплексы";Выпускникам специальности 09.02.01 "Компьютерные системы и комплексы" присваивается квалификация "Техник по компьютерным системам";
Кто получает квалификацию по специальности 09.02.06 "Сетевое и системное администрирование";Выпускникам специальности 09.02.06 "Сетевое и системное администрирование" присваивается квалификация "Сетевой и системный администратор";
Кто получает квалификацию по специальности 09.02.08 "WEB-разработка";Выпускникам специальности 09.02.08 присваивается квалификация "Разработчик веб-приложений";
Кто получает квалификацию по специальности 10.02.05 "Обеспечение информационной безопасности автоматизированных систем";Выпускникам специальности 10.02.05 присваивается квалификация "Техник по защите информации";
Кто получает квалификацию по специальности 25.02.08 "Эксплуатация беспилотных авиационных систем";Выпускникам специальности 25.02.08 присваивается квалификация "Оператор беспилотных летательных аппаратов";
Кто получает квалификацию по специальности 40.02.04 "Юриспруденция";Выпускникам специальности 40.02.04 присваивается квалификация "Юрист";
Кто получает квалификацию по специальности 09.02.07 "Информационные системы и программирование";Выпускникам специальности 09.02.07 присваивается квалификация в зависимости от выбранного направления: 1. Администратор баз данных 2. Специалист по информационным системам 3. Разработчик WEB и мультимедийных приложений 4. Программист 5. Специалист по тестированию в области информационных технологий;
Как происходит оплата за обучение;Оплата обучения осуществляется по семестрам;
Когда начинается сбор документов в техникум;Прием документов для поступления проходит с 20 июня по 15 августа;
Когда начинается учебный процесс для студентов;Начало учебного года у студентов всех курсов — 1 сентября;
По какому адресу проходят занятия;Студенты первокурсники всех специальностей обучаются по адресу ул. Нежинская, д. 7. Начиная со 2 курса студенты учатся по двум адресам: ул. Нежинская, д. 7 и Нахимовский проспект, д. 21 в зависимости от расписания;
Можно ли использовать материнский капитал для оплаты за обучение;Оплата обучения материнским капиталом возможна в соответствии с законом о материнском капитале;
Есть ли стипендия для бюджетников;С 1 сентября по 31 декабря государственная академическая стипендия назначается всем студентам первого курса, обучающимся за счет бюджетных средств. В последующем академическая стипендия назначается студентам, окончившим семестр только на «хорошо» и «отлично»;
Разрешено ли отправлять документы в приемную комиссию в электронном формате;Поступающие вправе направить в колледж заявление о приеме и необходимые документы одним из способов: лично в приемную комиссию, посредством электронной информационной системы "Личный кабинет абитуриента" или через операторов почтовой связи общего пользования заказным письмом с уведомлением о вручении;
